"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"012531","08","FMC JACKSON (TOMBIGBEE)","215 WALKER SPRINGS RD","","JACKSON","AL","36545","CLARKE","(251) 246-6667","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012532","08","DCI EUFAULA","123 A EAST BARBOUR STREET","","EUFAULA","AL","36027","BARBOUR","(334) 687-7071","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012533","08","WALKER COUNTY DIALYSIS","260 6TH AVENUE NORTHWEST","","JASPER","AL","35504","WALKER","(205) 384-6919","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012534","08","BESSEMER KIDNEY CENTER","975 9TH AVE SW","SUITE 500","BESSEMER","AL","35022","JEFFERSON","(205) 424-3757","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012535","08","PCD PRATTVILLE","600 MCQUEEN SMITH ROAD SOUTH","","PRATTVILLE","AL","36066","AUTAUGA","(334) 358-1576","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","29","10","61","74","2","15","20","65","82","4","15","85","85","4","21","22","57","82","3","2","30","68","89","4","5","27","68","89","4","47","4"
"012536","08","FMC MONTCLAIR","7780 LUDINGTON LANE","","BIRMINGHAM","AL","35210","JEFFERSON","(205) 957-1010","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012537","08","FMC PRICHARD","4016 HWY 45","","WHISTLER","AL","36613","MOBILE","(251) 330-1623","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","26","15","59","75","2","37","17","46","67","1","26","74","74","2","16","28","56","83","3","11","44","45","81","2","19","34","47","78","1","46","2"
"012538","08","RCG ANDALUSIA","1208 WEST BYPASS","","ANDALUSIA","AL","36420","COVINGTON","(334) 427-0147","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","270","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012540","08","FMC MONROEVILLE (WHETSTONE)","676 S ALABAMA AVE","","MONROEVILLE","AL","36460","MONROE","(251) 575-3452","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012541","08","FMC DADEVILLE","52 WATERWORKS RD","","DADEVILLE","AL","36853","TALLAPOOSA","(256) 825-2740","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","270","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012542","08","RAINBOW CITY DIALYSIS","2800 RAINBOW DRIVE","","RAINBOW CITY","AL","35906","ETOWAH","(256) 413-3245","Profit","Yes","GAMBRO HEALTHCARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012543","08","DEMOPOLIS DIALYSIS","511 S CEDAR STREET","","DEMOPOLIS","AL","36732","MARENGO","(334) 289-9700","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","13","10","77","86","4","24","14","62","78","3","20","80","80","4","12","22","66","87","4","12","27","61","85","3","15","21","64","85","3","39","4"
"012544","08","OZARK DIALYSIS","195 BUNTING DRIVE","","OZARK","AL","36360","DALE","(334) 774-1410","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","10","8","82","90","5","17","13","70","83","4","20","80","80","4","6","13","81","93","5","5","23","72","90","4","6","25","69","91","4","31","4"
"012545","08","TUSCALOOSA DIALYSIS","805 OLD MILL STREET","","TUSCALOOSA","AL","35401","TUSCALOOSA","(205) 752-6363","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","23","21","56","75","2","29","20","51","71","2","32","68","68","1","19","23","58","80","2","18","45","37","77","1","17","34","49","81","2","45","2"
"012546","08","FMC TUSKEGEE","802 E. MARTIN LUTHER KING HWY","","TUSKEGEE","AL","36083","MACON","(334) 727-9447","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","270","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012547","08","FMC EASTERN SHORE","124 PROFESSIONAL PARK DR","","FAIRHOPE","AL","36532","BALDWIN","(251) 928-7835","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","23","8","69","81","3","28","16","56","74","2","15","85","85","4","14","25","61","86","4","15","33","52","83","3","16","29","55","85","3","41","3"
"012548","08","FAYETTE DIALYSIS","2450 TEMPLE AVE N","","FAYETTE","AL","35555","FAYETTE","(205) 932-8500","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012549","08","BIO-MEDICAL APPLICATIONS OF ALABAMA INC.","1205 BELLEVILLE AVE.","","BREWTON","AL","36426","ESCAMBIA","(251) 867-3650","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012550","08","GREENE COUNTY DIALYSIS","544 HIGHWAY 43","","EUTAW","AL","35462","GREENE","(205) 372-4000","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","27","10","63","77","2","28","15","57","74","2","28","72","72","2","9","30","61","87","4","16","28","56","83","3","15","16","69","87","3","43","3"
"012551","08","SHEFFIELD DIALYSIS","1120 S JACKSON HWY STE 107","","SHEFFIELD","AL","35660","COLBERT","(256) 381-8004","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","21","17","62","78","3","17","18","65","82","4","15","85","85","4","11","30","59","86","4","7","19","74","90","4","7","11","82","91","4","49","4"
"012552","08","BIO-MEDICAL APPLICATIONS OF ALABAMA INC","65 NORTH CATHERINE STREET","","MOBILE","AL","36604","MOBILE","(251) 441-0868","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","24","12","64","77","2","24","16","60","75","3","15","85","85","4","13","40","47","78","2","11","24","65","85","3","14","22","64","85","3","44","3"
"012553","08","PCD ELMORE COUNTY","125 HOSPITAL DRIVE","","WETUMPKA","AL","36092","ELMORE","(334) 514-2037","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012556","08","NNA OF ALABAMA, INC","7067 VETERANS PKWY SUITE 120","","PELL CITY","AL","35125","SAINT CLAIR","(205) 338-4515","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012558","08","DCI DECATUR","1601 6TH AVENUE SOUTH EAST","","DECATUR","AL","35601","MORGAN","(256) 350-8882","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","001","13","16","71","86","4","18","18","64","81","4","13","87","87","5","8","35","57","86","4","19","18","63","84","3","18","13","69","86","3","55","4"
"012559","08","FMC UNIVERSITY SOUTH ALABAMA","700 CLINIC DRIVE","","MOBILE","AL","36688","MOBILE","(251) 460-6797","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","12","19","69","85","4","11","22","67","85","4","12","88","88","5","8","32","60","89","4","3","29","68","91","4","8","25","67","89","4","32","4"
"012561","08","FMC LAKEVIEW","45 MEDICAL PARK DR., STE A","","GUNTERSVILLE","AL","35976","MARSHALL","(256) 753-0112","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","19","24","57","77","2","18","24","58","79","3","19","81","81","4","20","28","52","79","2","7","34","59","86","3","17","33","50","83","2","41","3"
"012562","08","DCI PELL CITY","62 COGSWELL DRIVE","","PELL CITY","AL","35125","SAINT CLAIR","(205) 884-4240","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012563","08","DCI CULLMAN","1734 EVA ROAD NE","","CULLMAN","AL","35055","CULLMAN","(256) 734-3055","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","001","6","10","84","93","5","4","18","78","92","5","8","92","92","5","3","24","73","92","5","0","20","80","93","5","2","20","78","92","4","55","5"
"012565","08","SOUTH BALDWIN DIALYSIS CENTER","150 W PEACHTREE AVE","","FOLEY","AL","36535","BALDWIN","(251) 943-4155","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012566","08","FMC SYLACAUGA","314 WEST SPRING STREET","","SYLACAUGA","AL","35150","TALLADEGA","(256) 249-9660","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012568","08","FMC PARKWAY","1311 N MEMORIAL PKWY STE 100","","HUNTSVILLE","AL","35801","MADISON","(256) 536-5563","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","23","14","63","78","3","21","16","63","78","3","27","73","73","2","22","23","55","82","3","9","36","55","86","3","27","22","51","79","1","35","3"
"012570","08","NORTHPORT DIALYSIS","2401 HOSPITAL DRIVE","","NORTHPORT","AL","35476","TUSCALOOSA","(205) 339-8882","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","24","14","62","77","2","23","19","58","76","3","26","74","74","2","14","17","69","84","3","16","28","56","83","3","17","18","65","84","2","35","3"
"012571","08","DCI GEORGIANA","715 MEETING ST","","GEORGIANA","AL","36033","BUTLER","(334) 376-0277","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
