"Provider Number","Network","Facility Name ","Address Line 1","Address Line 2","City","State ","Zip","County","Phone Number","Profit or Non-Profit","Chain Owned","Chain Organization ","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists’ communication and caring","Middle box percent of patients-nephrologists’ communication and caring","Top box percent of patients-nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients ","Top box percent of patients- providing information to patients","Lower box percent of patients-rating of the nephrologist ","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff ","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff ","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility ","Top box percent of patients-rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys"
"042537","13","FMCNA - STUTTGART DIALYSIS","805 WEST MADISON","","STUTTGART","AR","72160","ARKANSAS","8706738823","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042539","13","DAVITA - FAYETTEVILLE","509 E MILLSAP STE 111","","FAYETTEVILLE","AR","72703","WASHINGTON","4794436688","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042540","13","DAVITA - BENTONVILLE","1104 SE 30TH ST","","BENTONVILLE","AR","72712","BENTON","4796576220","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042543","13","FMCNA - MONTICELLO","774 JORDAN DR","","MONTICELLO","AR","71655","DREW","8703673100","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032624","15","032624 SOUTHWEST KIDNEY CENTRAL MESA (DVA)","1134 E UNIVERSITY DR STE 101","","MESA","AZ","85203","MARICOPA","4804643851","1","Y","DAVITA","22Apr2016-13Jan2017","001","22","18","60","26","18","56","29","71","17","31","52","26","31","43","24","19","57","37"
"032625","15","032625 RAVEN DIALYSIS CENTER (DVA)","3540 E BASELINE RD STE 110","","PHOENIX","AZ","85042","MARICOPA","6024312110","1","Y","DAVITA","22Apr2016-13Jan2017","001","16","15","69","16","20","64","15","85","14","32","54","9","28","63","8","14","78","53"
"032626","15","032626 MIDVALE PARK DIALYSIS (FMC)","1430 W VALENCIA RD STE 1","","TUCSON","AZ","85746","PIMA","5208894555","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","15","15","70","17","18","65","19","81","8","22","70","9","25","66","12","10","78","69"
"032627","15","032627 TUCSON CENTRAL DIALYSIS (DVA)","2901 E GRANT RD","","TUCSON","AZ","85716","PIMA","5203253408","1","Y","DAVITA","22Apr2016-13Jan2017","001","18","17","65","12","22","66","15","85","12","22","66","5","13","82","3","12","85","37"
"032628","15","032628 KINGMAN DIALYSIS CLINIC (FMC)","1721 AIRWAY AVE","","KINGMAN","AZ","86409","MOHAVE","9286812342","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","14","18","68","16","21","63","15","85","7","27","66","8","27","65","5","16","79","73"
"032629","15","032629 SOUTH TUCSON DIALYSIS (FMC)","2802 SOUTH 6TH AVE","","TUCSON","AZ","85713","PIMA","5207922999","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","24","14","62","15","24","61","17","83","25","25","50","8","14","78","7","23","70","37"
"032630","15","032630 BROOKWOOD DIALYSIS CLINIC (DVA)","8910 N 43RD AVE STE 107","","GLENDALE","AZ","85302","MARICOPA","6239372735","1","Y","DAVITA","22Apr2016-13Jan2017","001","18","13","69","14","27","59","22","78","9","31","60","8","27","65","5","22","73","53"
"032631","15","032631 OCOTILLO DIALYSIS (DVA)","975 W CHANDLER HEIGHTS STE 101","","CHANDLER","AZ","85248","MARICOPA","4808024405","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032632","15","032632 RITA RANCH DIALYSIS (DVA)","7355 S HOUGHTON RD STE 101","","TUCSON","AZ","85747","PIMA","5206634035","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032633","15","032633 SANTAN DIALYSIS (FMC)","300 W HIGHWAY 287","","FLORENCE","AZ","85132","PINAL","5208681144","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042514","13","DAVITA - SEARCY DIALYSIS CTR","3208 LANGLEY ST","","SEARCY","AR","72143","WHITE","5012684400","1","Y","DAVITA","22Apr2016-13Jan2017","001","8","32","60","4","23","73","7","93","4","39","57","2","21","77","0","14","86","31"
"042515","13","KIDNEY DISEASE AND DIALYSIS CLINIC OF MAGNOLIA","1411 N JACKSON","","MAGNOLIA","AR","71754","COLUMBIA","8702344945","1","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042517","13","DAVITA - CONWAY DIALYSIS CTR","2445 CHRISTINA LN","","CONWAY","AR","72034","FAULKNER","5013282186","1","Y","DAVITA","22Apr2016-13Jan2017","001","11","15","74","21","27","52","27","73","11","24","65","14","47","39","17","38","45","50"
"042518","13","FMCNA - FAULKNER COUNTY","201 SKYLINE DR  STE 32","","CONWAY","AR","72032","FAULKNER","5013297715","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042521","13","FMCNA - LITTLE ROCK DIALYSIS","10310 W MARKHAM STE 100","","LITTLE ROCK","AR","72205","PULASKI","5012253890","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","24","10","66","32","14","54","18","82","11","31","58","17","29","54","21","28","51","33"
"042525","13","DAVITA - OUACHITA VALLEY DIALYSIS","1114 WASHINGTON NW","","CAMDEN","AR","71701","OUACHITA","8708371330","1","Y","DAVITA","22Apr2016-13Jan2017","001","20","11","69","21","13","66","30","70","14","42","44","14","23","63","13","13","74","35"
"042527","13","FKC - LAKE VILLAGE","505 SAINT MARYS STREET","","LAKE VILLAGE","AR","71653","CHICOT","8702653837","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042528","13","FMCNA - EAST ARKANSAS","310 S RHODES","","WEST MEMPHIS","AR","72301","CRITTENDEN","8707355445","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","32","18","50","22","25","53","16","84","32","22","46","20","32","48","12","28","60","34"
"042531","13","DAVITA - HOT SPRINGS DIALYSIS","115 WRIGHTS ST STE A","","HOT SPRINGS","AR","71913","GARLAND","5016240153","1","Y","DAVITA","22Apr2016-13Jan2017","001","18","21","61","18","18","64","18","82","13","29","58","8","20","72","7","19","74","57"
"042532","13","FMCNA - PINE BLUFF","2910 MARKET ST","","PINE BLUFF","AR","71601","JEFFERSON","8705368050","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","11","12","77","20","24","56","21","79","8","21","71","7","33","60","10","25","65","56"
"042533","13","FMCNA - ST FRANCIS COUNTY DIALYSIS","210 BARROW HILL RD","","FORREST CITY","AR","72335","SAINT FRANCIS","8706306484","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","49","14","37","29","18","53","31","69","37","31","32","25","28","47","29","30","41","43"
"040020","13","ST BERNARDS REGIONAL MED CTR-DIALYSIS","540 E WASHINGTON","","JONESBORO","AR","72401","CRAIGHEAD","8702074477","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","8","12","80","9","13","78","10","90","3","20","77","3","19","78","4","15","81","61"
"040117","13","ARKANSAS CHILDRENS HOSPITAL-DIALYSIS","1 CHILDRENS WAY-SLOT 204","","LITTLE ROCK","AR","72202","PULASKI","5013641813","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"042501","13","FT SMITH REGIONAL DIALYSIS CTR","2201 BROOKEN HILL DR","","FORT SMITH","AR","72908","SEBASTIAN","4797556700","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","24","18","58","20","21","59","15","85","17","30","53","12","28","60","10","21","69","121"
"042507","13","DAVITA - OUACHITA DIALYSIS","1900 MALVERN AVE STE 102","","HOT SPRINGS","AR","71901","GARLAND","5016240196","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042508","13","DAVITA - RIVER VALLEY DIALYSIS","3121 W SECOND CT","","RUSSELLVILLE","AR","72801","POPE","4799684687","1","Y","DAVITA","22Apr2016-13Jan2017","001","23","19","58","12","21","67","23","77","21","34","45","7","23","70","15","21","64","59"
"042510","13","FMCNA - HELENA","108 D ANNA PL","","HELENA","AR","72342","PHILLIPS","8703387800","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","49","14","37","35","16","49","20","80","57","20","23","29","27","44","30","24","46","41"
"042512","13","DAVITA - DEGRAY KIDNEY CTR","312 PROFESSIONAL PARK DR STE H","","ARKADELPHIA","AR","71923","CLARK","8702463021","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032580","15","032580 PALM VALLEY DIALYSIS (FMC)","13657 W MCDOWELL RD STE 106","","GOODYEAR","AZ","85338","MARICOPA","6235361096","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032581","15","032581 AK-CHIN DIALYSIS (FMC)","16536 N MARICOPA RD","","MARICOPA","AZ","85139","PINAL","5205683120","1","Y","RENAL CARE GROUP INC.","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032583","15","032583 SOUTH PHOENIX DIALYSIS (DSI)","4621 S CENTRAL AVE","","PHOENIX","AZ","85040","MARICOPA","6023041977","1","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032586","15","032586 TEMPE RENAL CENTER (DSI)","8820 S KYRENE RD","","TEMPE","AZ","85284","MARICOPA","4808932299","1","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"032587","15","032587 DEER VALLEY DIALYSIS (FMC)","21241 N 23RD AVE STE 11","","PHOENIX","AZ","85027","MARICOPA","6238696089","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032589","15","032589 TUCSON SOUTH CENTRAL DIALYSIS (DVA)","2024 E IRVINGTON RD","","TUCSON","AZ","85714","PIMA","5205730200","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032592","15","032592 HOPI DIALYSIS CENTER (DVA)","HIGHWAY 264 MP 388","","POLACCA","AZ","86042","NAVAJO","9287375490","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032593","15","032593 GRANITE VALLEY DIALYSIS (FMC)","14510 W SHUMWAY DR STE 100","","SUN CITY WEST","AZ","85375","MARICOPA","6235462718","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032594","15","032594 SALT RIVER DIALYSIS CENTER (FMC)","10301 E OSBORN RD BLDG 14","","SCOTTSDALE","AZ","85256","MARICOPA","4803621044","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032596","15","032596 NORTHEAST PHOENIX DIALYSIS (DSI)","3305 E GREENWAY RD STE 1","","PHOENIX","AZ","85032","MARICOPA","6027653919","1","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032597","15","032597 SAN CARLOS DIALYSIS (FMC)","US 70 & AZ ROUTE 170","","PERIDOT","AZ","85542","GILA","9284755987","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032598","15","032598 MAMMOTH DIALYSIS (FMC)","14786 S HIGHWAY 77 - POB 729","","MAMMOTH","AZ","85618","PINAL","5204870150","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032599","15","032599 AHWATUKEE DIALYSIS (FMC)","15930 48TH STREET","","PHOENIX","AZ","85048","MARICOPA","4807852270","1","Y","RENAL CARE GROUP INC.","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032601","15","032601 PALM BROOK DIALYSIS CENTER (DVA)","14664 N DEL WEBB BLVD","","SUN CITY","AZ","85351","MARICOPA","6235836550","1","Y","DAVITA","22Apr2016-13Jan2017","001","14","10","76","14","19","67","19","81","10","24","66","0","21","79","4","14","82","66"
"042513","13","DAVITA - SPRINGHILL DIALYSIS","SPRINGHILL MEDICAL PLAZA","3401 SPRINGHILL DR STE 190","NORTH LITTLE ROCK","AR","72117","PULASKI","5019453669","1","Y","DAVITA","22Apr2016-13Jan2017","001","40","9","51","29","24","47","30","70","38","20","42","33","26","41","35","27","38","38"
"032561","15","032561 CASA GRANDE DIALYSIS (FMC)","1875 E SABIN DR","","CASA GRANDE","AZ","85122","PINAL","5208362566","1","Y","RENAL CARE GROUP INC.","22Apr2016-13Jan2017","001","19","16","65","18","20","62","15","85","17","31","52","17","25","58","8","25","67","69"
"032562","15","032562 COTTONWOOD DIALYSIS (DVA)","1699 E COTTONWOOD ST, A-200","","COTTONWOOD","AZ","86326","YAVAPAI","9286349295","1","Y","DAVITA","22Apr2016-13Jan2017","001","13","18","69","14","27","59","14","86","6","21","73","11","32","57","12","10","78","30"
"032563","15","032563 SCOTTSDALE DIALYSIS (FMC)","1495 N HAYDEN STE D1-D4","","SCOTTSDALE","AZ","85257","MARICOPA","4809497844","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","25","17","58","21","27","52","21","79","26","23","51","12","40","48","14","29","57","32"
"032564","15","032564 MARYVALE DIALYSIS (FMC)","4502 W INDIAN SCHOOL RD STE A4-11","","PHOENIX","AZ","85031","MARICOPA","6232470695","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","25","14","61","18","25","57","25","75","19","31","50","12","37","51","16","20","64","59"
"032565","15","032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI)","1011 E PENNSYLVANIA ST","","TUCSON","AZ","85719","PIMA","5208060007","2","Y","DIALYSIS CLINIC, INC.","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032568","15","032568 RED MOUNTAIN DIALYSIS (FMC)","1211 N COUNTRY CLUB DR STE 4","","MESA","AZ","85201","MARICOPA","4808337440","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032571","15","032571 NORTH SCOTTSDALE DIALYSIS (FMC)","16101 N 82ND ST STE 6-7","","SCOTTSDALE","AZ","85260","MARICOPA","4806072953","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","23","22","55","24","24","52","24","76","27","23","50","27","28","45","18","30","52","40"
"032572","15","032572 DESERT DIALYSIS SRVS INC-SUN CITY (DVA)","13000 N 103RD AVE STE 66","","SUN CITY","AZ","85351","MARICOPA","6235833131","1","Y","DAVITA","22Apr2016-13Jan2017","001","14","16","70","17","13","70","16","84","4","28","68","12","23","65","11","18","71","46"
"032573","15","032573 PASCUA YAQUI DIALYSIS (DVA)","7490 S CAMINO DE OESTE","","TUCSON","AZ","85757","PIMA","5208796161","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032575","15","032575 SHOW LOW DIALYSIS (FMC)","1500 S WHITE MOUNTAIN BLVD STE 204","","SHOW LOW","AZ","85901","NAVAJO","9285328430","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032577","15","032577 YAVAPAI DIALYSIS (FMC)","3605 RANCH DR","","PRESCOTT","AZ","86303","YAVAPAI","9284439626","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","14","17","69","22","21","57","20","80","10","15","75","17","16","67","9","15","76","59"
"032578","15","032578 APACHE JUNCTION DIALYSIS (FMC)","11540 E UNIVERSITY DR STE 109","","APACHE JUNCTION","AZ","85220","PINAL","4803575572","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","30","17","53","32","22","46","29","71","16","41","43","13","44","43","24","28","48","30"
"032579","15","032579 SUN LAKES DIALYSIS (FMC)","9666 E RIGGS RD STE 143","","SUN LAKES","AZ","85248","MARICOPA","4808831301","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042545","13","DAVITA - SW ARKANSAS DIALYSIS-MAGNOLIA","225 N DUDNEY","","MAGNOLIA","AR","71753","COLUMBIA","8702341322","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042547","13","DAVITA - LITTLE ROCK MIDTOWN DIALYSIS","#2 LILE CT STE 102","","LITTLE ROCK","AR","72205","PULASKI","5012213123","1","Y","DAVITA","22Apr2016-13Jan2017","001","15","18","67","30","18","52","24","76","21","22","57","20","25","55","25","17","58","38"
"042548","13","DAVITA - NORTH LITTLE ROCK DIALYSIS CTR","4505 E MCCAIN BLVD","","NORTH LITTLE ROCK","AR","72117","PULASKI","5019452323","1","Y","DAVITA","22Apr2016-13Jan2017","001","26","22","52","21","23","56","19","81","17","41","42","17","36","47","14","32","54","42"
"042549","13","DAVITA - SILOAM SPRINGS","500 S MT OLIVE STE 107","","SILOAM SPRINGS","AR","72761","BENTON","4795240104","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042550","13","FMCNA - BLYTHEVILLE","1001 E MOULTRIE","","BLYTHEVILLE","AR","72315","MISSISSIPPI","8707627700","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","30","13","57","26","23","51","18","82","26","30","44","20","39","41","18","39","43","44"
"032634","15","032634 SOUTHWEST KIDNEY DIALYSIS - MARYVALE (DVA)","4845 W MCDOWELL RD STE 10A","","PHOENIX","AZ","85035","MARICOPA","6022788349","1","Y","DAVITA","22Apr2016-13Jan2017","001","20","14","66","28","15","57","22","78","23","32","45","23","23","54","22","14","64","37"
"032635","15","032635 GILBERT DIALYSIS (FMC)","3511 MERCY RD STE 101","","GILBERT","AZ","85297","MARICOPA","4808578338","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","31","18","51","18","21","61","18","82","16","37","47","20","17","63","20","8","72","33"
"032636","15","032636 DSI FLAGSTAFF","2268 N WALGREENS ST","","FLAGSTAFF","AZ","86004","COCONINO","9285565500","1","Y","LIBERTY DIALYSIS HAWAII","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032637","15","032637 WICKENBURG DIALYSIS (DVA)","811 N TEGNER ST  #101","","WICKENBURG","AZ","85390","MARICOPA","9286846898","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032638","15","032638 POWER ROAD DIALYSIS (DVA)","301 S POWER ROAD SUITE 104","","MESA","AZ","85206","MARICOPA","4806411193","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032639","15","032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)","9250 WEST THOMAS ROAD","SUITE 120","PHOENIX","AZ","85037","MARICOPA","6237727363","1","Y","AMERICAN RENAL ASSOCIATES","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032640","15","032640 SWEETWATER RIDGE DIALYSIS (DVA)","7362 W THUNDERBIRD RD SUITE 104","","PEORIA","AZ","85381","MARICOPA","6234860327","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032641","15","032641 SCOTTSDALE DIALYSIS (DVA)","5705 N SCOTTSDALE RD, STE 120","","SCOTTSDALE","AZ","85250","MARICOPA","4809413860","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032642","15","032642 SOUTHWEST KIDNEY/DAVITA-PHOENIX HOME DIALYSIS (DVA)","5115 E THOMAS RD STE 100","","PHOENIX","AZ","85018","MARICOPA","6028400012","1","Y","DAVITA","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"032643","15","032643 EAST TUCSON (FMC)","5555 E 5TH ST #155","","TUCSON","AZ","85711","PIMA","5207900461","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"032644","15","032644 EDGE RIVER (DVA)","1197 S REDONDO CENTER DR","","YUMA","AZ","85365","YUMA","9283294340","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"032645","15","032645 SOUTHWEST KIDNEY DAVITA DIALYSIS PARTNERS, LLC","13430 N SAGUARO BLVD","BLDG 3","FOUNTAIN HILLS","AZ","85268","MARICOPA","4808165973","1","Y","DAVITA","22Apr2016-13Jan2017","103","","","","","","","","","","","","","","","","","",""
"032646","15","032646-FMC-GLENDALE TOWN CENTER","4407 WEST PEORIA AVE","","GLENDALE","AZ","85302","MARICOPA","6239349091","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","103","","","","","","","","","","","","","","","","","",""
"032647","15","032647-FMC NORTH MOUNTAIN","16605 NORTH 28TH AVENUE","SUITE 100","PHOENIX","AZ","85053","MARICOPA","6028637954","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","103","","","","","","","","","","","","","","","","","",""
"033302","15","033302 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER","1920 E CAMBRIDGE RD STE 102","","PHOENIX","AZ","85016","MARICOPA","6029333220","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"033503","15","033503 GILA RIVER DIALYSIS WEST","9721 WEST PECOS RD- RR2, BOX 807","","LAVEEN","AZ","85339","MARICOPA","5205506050","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","22","13","65","15","15","70","18","82","14","36","50","3","20","77","5","6","89","49"
"012576","08","DCI MONTGOMERY","544 SOUTH MCDONOUGH STREET","","MONTGOMERY","AL","36104","MONTGOMERY","3342659190","2","Y","DIALYSIS CLINIC, INC.","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"012578","08","RCG SOUTHSIDE","2131 MAGNOLIA AVE SOUTH #100","","BIRMINGHAM","AL","35205","JEFFERSON","2053224382","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"012579","08","FMC DAUPHIN ISLAND PKWY","2381 DAUPHIN ISLAND PARKWAY","","MOBILE","AL","36605","MOBILE","2514712505","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","19","24","57","17","24","59","27","73","23","29","48","9","22","69","12","10","78","46"
"012580","08","FMC THOMASVILLE","30230 HWY 43","","THOMASVILLE","AL","36784","CLARKE","3346361411","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"012582","08","FMC WILCOX","229 CAMDEN BYPASS","","CAMDEN","AL","36726","WILCOX","3346825030","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"012583","08","BESSEMER DIALYSIS","901 WESTLAKE MALL","STE 101","BESSEMER","AL","35020","JEFFERSON","2054241848","1","Y","DAVITA","22Apr2016-13Jan2017","001","19","18","63","18","23","59","25","75","15","34","51","16","29","55","22","19","59","31"
"012585","08","ENSLEY DIALYSIS","2630 AVENUE E","","BIRMINGHAM","AL","35218","JEFFERSON","2057861371","1","Y","DAVITA","22Apr2016-13Jan2017","001","40","13","47","31","26","43","22","78","40","25","35","25","46","29","36","25","39","31"
