"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS date2","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"012517","08","DVA HEALTHCARE RENAL CARE INC","15953 ATHENS LIMESTONE DRIVE","","ATHENS","AL","35613","LIMESTONE","(256) 233-4730","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","20","59","23","20","57","16","84","27","24","49","13","21","66","14","21","65"
"012519","08","FMC SCOTTSBORO","20998 JOHN T. REID HWY","","SCOTTSBORO","AL","35768","JACKSON","(256) 259-4777","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","11","71","15","20","65","25","75","19","19","62","12","31","57","12","23","65"
"012520","08","FMC TROY","606 BOTTS AVE","","TROY","AL","36081","PIKE","(334) 566-7266","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012521","08","DCI DOTHAN","1630 COLUMBIA HWY","","DOTHAN","AL","36303","HOUSTON","(334) 793-3519","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","6","16","78","9","20","71","11","89","1","20","79","4","22","74","2","12","86"
"012522","08","FMC HUNTSVILLE","2325 PANSY STREET","SUITE C","HUNTSVILLE","AL","35801","MADISON","(256) 536-1881","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","11","73","13","22","65","21","79","17","9","74","12","27","61","14","17","69"
"012523","08","PHENIX CITY DIALYSIS","4391 RIVERCHASE DRIVE","","PHENIX CITY","AL","36867","RUSSELL","(334) 298-1941","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","21","62","25","19","56","24","76","7","35","58","22","32","46","19","27","54"
"012524","08","FMC EAST MOBILE","1217 GOVERNMENT ST","","MOBILE","AL","36604","MOBILE","(251) 438-6917","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","16","60","30","13","57","27","73","26","21","53","18","36","46","22","22","56"
"012525","08","FMC WEST MOBILE","6601 WALL STREET","SUITE A","MOBILE","AL","36695","MOBILE","(251) 633-2681","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","30","20","50","28","24","48","24","76","24","34","42","17","41","42","22","35","43"
"012526","08","RCG PRINCETON","708 COTTON AVE SW","","BIRMINGHAM","AL","35211","JEFFERSON","(205) 785-3500","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","12","65","22","15","63","24","76","27","12","61","19","18","63","19","27","54"
"012527","08","DCI ENTERPRISE","3861 SALEM ROAD","","ENTERPRISE","AL","36330","COFFEE","(334) 347-8233","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","8","11","81","10","18","72","12","88","5","21","74","5","22","73","1","12","87"
"012528","08","FMC CAHABA VALLEY","120 CAHABA VALLEY PARKWAY","SUITE 150","PELHAM","AL","35124","SHELBY","(205) 988-0469","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012529","08","FLORENCE DIALYSIS","422 EAST DR. HICKS BLVD","","FLORENCE","AL","35630","LAUDERDALE","(256) 764-5050","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","27","29","44","19","23","58","20","80","21","38","41","10","32","58","21","22","57"
"012530","08","RAI EAST 11TH ST ANNISTON","522 EAST 11TH STREET","1ST FLOOR","ANNISTON","AL","36207","CALHOUN","(256) 237-7566","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","16","61","29","19","52","31","69","19","18","63","26","24","50","21","23","56"
"012531","08","FMC JACKSON (TOMBIGBEE)","215 WALKER SPRINGS RD","","JACKSON","AL","36545","CLARKE","(251) 246-6667","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012532","08","DCI EUFAULA","123 A EAST BARBOUR STREET","","EUFAULA","AL","36027","BARBOUR","(334) 687-7071","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012533","08","WALKER COUNTY DIALYSIS","260 6TH AVENUE NORTH","","JASPER","AL","35504","WALKER","(205) 221-1064","Profit","Yes","NATIONAL RENAL INSTITUTES","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012534","08","BESSEMER KIDNEY CENTER","975 9TH AVE SW","SUITE 500","BESSEMER","AL","35022","JEFFERSON","(205) 424-3757","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012535","08","PCD PRATTVILLE","1815 GLYNWOOD DRIVE","","PRATTVILLE","AL","36066","AUTAUGA","(334) 361-0010","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","22","15","63","22","13","65","22","78","9","32","59","5","18","77","2","28","70"
"012536","08","FMC MONTCLAIR","3918 MONTCLAIR RD","SUITE 110","BIRMINGHAM","AL","35213","JEFFERSON","(205) 871-0999","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","15","18","67","13","25","62","24","76","15","39","46","9","19","72","11","22","67"
"012537","08","FMC PRICHARD","4016 HWY 45","","WHISTLER","AL","36613","MOBILE","(251) 330-1623","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","22","58","30","20","50","28","72","23","23","54","23","36","41","21","45","34"
"012538","08","RCG ANDALUSIA","1208 WEST BYPASS","","ANDALUSIA","AL","36420","COVINGTON","(334) 427-0147","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","13","63","18","19","63","24","76","24","29","47","8","39","53","8","24","68"
"012540","08","FMC MONROEVILLE (WHETSTONE)","676 S ALABAMA AVE","","MONROEVILLE","AL","36460","MONROE","(251) 575-3452","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012541","08","FMC DADEVILLE","52 WATERWORKS RD","","DADEVILLE","AL","36853","TALLAPOOSA","(256) 825-2740","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012542","08","RAINBOW CITY DIALYSIS","2800 RAINBOW DRIVE","","RAINBOW CITY","AL","35906","ETOWAH","(256) 413-3245","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012543","08","DEMOPOLIS DIALYSIS","511 S CEDAR STREET","","DEMOPOLIS","AL","36732","MARENGO","(334) 289-9700","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","14","65","28","16","56","24","76","13","22","65","17","24","59","17","20","63"
"012544","08","OZARK DIALYSIS","195 BUNTING DRIVE","","OZARK","AL","36360","DALE","(334) 774-1410","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012545","08","TUSCALOOSA DIALYSIS","805 OLD MILL STREET","","TUSCALOOSA","AL","35401","TUSCALOOSA","(205) 752-6363","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","24","62","27","22","51","27","73","9","27","64","22","34","44","23","32","45"
"012546","08","FMC TUSKEGEE","802 E. MARTIN LUTHER KING HWY","","TUSKEGEE","AL","36083","MACON","(334) 727-9447","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","14","67","31","16","53","22","78","15","21","64","21","27","52","18","22","60"
"012547","08","FMC EASTERN SHORE","124 PROFESSIONAL PARK DR","","FAIRHOPE","AL","36532","BALDWIN","(251) 928-7835","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","11","80","13","23","64","13","87","7","15","78","7","36","57","4","38","58"
"012548","08","FAYETTE DIALYSIS","2450 TEMPLE AVE N","","FAYETTE","AL","35555","FAYETTE","(205) 932-8500","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012549","08","BIO-MEDICAL APPLICATIONS OF ALABAMA INC.","1205 BELLEVILLE AVE.","","BREWTON","AL","36426","ESCAMBIA","(251) 867-3650","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012550","08","GREENE COUNTY DIALYSIS","544 HIGHWAY 43","","EUTAW","AL","35462","GREENE","(205) 372-4000","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","12","71","16","20","64","20","80","17","14","69","18","21","61","11","22","67"
"012551","08","SHEFFIELD DIALYSIS","1120 S JACKSON HWY STE 107","","SHEFFIELD","AL","35660","COLBERT","(256) 381-8004","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","20","56","23","19","58","17","83","17","20","63","5","21","74","7","21","72"
"012552","08","BIO-MEDICAL APPLICATIONS OF ALABAMA INC","65 NORTH CATHERINE STREET","","MOBILE","AL","36604","MOBILE","(251) 441-0868","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","15","67","12","18","70","15","85","13","35","52","5","8","87","4","11","85"
"012553","08","PCD ELMORE COUNTY","125 HOSPITAL DRIVE","","WETUMPKA","AL","36092","ELMORE","(334) 514-2037","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012556","08","NNA OF ALABAMA, INC","7067 VETERANS PKWY SUITE 120","","PELL CITY","AL","35125","SAINT CLAIR","(205) 338-4515","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012557","08","PCD EAST MONTGOMERY","6890 WINTON BLOUNT BLVD","","MONTGOMERY","AL","36117","MONTGOMERY","(334) 260-0671","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","22","59","13","20","67","23","77","12","24","64","18","15","67","5","31","64"
"012558","08","DCI DECATUR","1601 6TH AVENUE SOUTH EAST","","DECATUR","AL","35601","MORGAN","(256) 350-8882","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","18","72","16","23","61","21","79","9","23","68","23","15","62","14","21","65"
"012559","08","FMC UNIVERSITY SOUTH ALABAMA","700 CLINIC DRIVE","","MOBILE","AL","36688","MOBILE","(251) 460-6797","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","13","70","14","17","69","24","76","15","22","63","6","23","71","8","17","75"
"012560","08","FMC HAMILTON","1256 MILITARY STREET SOUTH","","HAMILTON","AL","35570","MARION","(205) 921-6231","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012561","08","FMC LAKEVIEW","45 MEDICAL PARK DR., STE A","","GUNTERSVILLE","AL","35976","MARSHALL","(256) 753-0112","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","21","56","18","29","53","20","80","19","17","64","16","25","59","12","30","58"
"012562","08","DCI PELL CITY","62 COGSWELL DRIVE","","PELL CITY","AL","35125","SAINT CLAIR","(205) 884-4240","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012563","08","DCI CULLMAN","1734 EVA ROAD NE","","CULLMAN","AL","35055","CULLMAN","(256) 734-3055","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","11","79","7","19","74","13","87","12","15","73","4","17","79","3","19","78"
"012565","08","SOUTH BALDWIN DIALYSIS CENTER","150 W PEACHTREE AVE","","FOLEY","AL","36535","BALDWIN","(251) 943-4155","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012566","08","FMC SYLACAUGA","314 WEST SPRING STREET","","SYLACAUGA","AL","35150","TALLADEGA","(256) 249-9660","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012568","08","FMC PARKWAY","1311 N MEMORIAL PKWY STE 100","","HUNTSVILLE","AL","35801","MADISON","(256) 536-5563","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","15","65","22","19","59","22","78","14","21","65","19","16","65","22","18","60"
"012570","08","NORTHPORT DIALYSIS","2401 HOSPITAL DRIVE","","NORTHPORT","AL","35476","TUSCALOOSA","(205) 339-8882","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","22","59","25","24","51","28","72","19","19","62","18","22","60","13","29","58"
"012571","08","DCI GEORGIANA","P O BOX 618","","GEORGIANA","AL","36033","BUTLER","(334) 376-0277","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012572","08","FMC CAMELLIA","350 PAUL STABLER DRIVE","","GREENVILLE","AL","36037","BUTLER","(334) 383-0006","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","15","65","34","15","51","25","75","15","23","62","26","24","50","12","36","52"
"012573","08","DCI BIRMINGHAM","8713 PARKWAY EAST","","BIRMINGHAM","AL","35206","JEFFERSON","(205) 838-5400","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","8","83","11","13","76","20","80","7","13","80","0","30","70","0","22","78"
"012574","08","FMC CHAMBERS","802 HOSPITAL STREET","","LAFAYETTE","AL","36862","CHAMBERS","(334) 864-9914","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012575","08","RCG WALKER","3510 3RD STREET NE","","JASPER","AL","35504","WALKER","(205) 221-8775","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","22","22","56","8","27","65","20","80","18","22","60","6","25","69","9","15","76"
"012576","08","DCI MONTGOMERY","544 SOUTH MCDONOUGH STREET","","MONTGOMERY","AL","36104","MONTGOMERY","(334) 265-9190","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012578","08","RCG SOUTHSIDE","2131 MAGNOLIA AVE SOUTH #100","","BIRMINGHAM","AL","35205","JEFFERSON","(205) 322-4382","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012579","08","FMC DAUPHIN ISLAND PKWY","2381 DAUPHIN ISLAND PARKWAY","","MOBILE","AL","36605","MOBILE","(251) 471-2505","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012580","08","FMC THOMASVILLE","30230 HWY 43","","THOMASVILLE","AL","36784","CLARKE","(334) 636-1411","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","13","67","27","20","53","12","88","14","30","56","17","29","54","24","28","48"
"012582","08","FMC WILCOX","229 CAMDEN BYPASS","","CAMDEN","AL","36726","WILCOX","(334) 682-5030","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012583","08","BESSEMER DIALYSIS","901 WESTLAKE MALL","STE 101","BESSEMER","AL","35020","JEFFERSON","(205) 424-1848","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","29","15","56","23","21","56","21","79","26","17","57","14","33","53","24","23","53"
"012585","08","ENSLEY DIALYSIS","2630 AVENUE E","","BIRMINGHAM","AL","35218","JEFFERSON","(205) 786-1371","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","27","17","56","24","21","55","30","70","35","28","37","16","30","54","13","26","61"
"012588","08","SYLACAUGA DIALYSIS","331 JAMES PAYTON BLVD","","SYLACAUGA","AL","35150","TALLADEGA","(256) 249-4994","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
